Gene,sample1,sample2,sampleN
A1BG,0,5,0
A1CF,0,0,0
A2M,21,50,9
A2ML1,0,0,0
A3GALT2,0,0,0
A4GALT,1,1,0
A4GNT,3,2,6
AAAS,2,7,4
AACS,1,0,1
AADAC,35,4,11
AADACL2,1,0,0
AADACL3,1,0,0
AADACL4,0,0,0
AADAT,0,0,0
AAGAB,2,3,2
AAK1,2,3,2
AAMDC,1,0,0
AAMP,300,230,190
AANAT,0,0,0
AAR2,3,2,1
AARD,1,2,2
AARS2,1,0,1
AARSD1,2,1,2
AASDH,0,0,0
AASDHPPT,30,39,25
AASS,1,0,0
AATF,1,0,1
AATK,0,7,3
ABAT,0,0,0
ABCA1,6,12,2
ABCA10,0,1,1
ABCA12,0,0,0
ABCA13,0,0,0
ABCA2,6,10,5
ABCA3,1,1,1
ABCA4,0,0,0
ABCA5,4,3,7
ABCA6,0,1,0
ABCA7,1,1,0
ABCA8,0,1,0
ABCA9,0,0,0
ABCB1,1,0,1
ABCB10,2,1,1
ABCB11,0,0,0
ABCB4,0,0,0
ABCB5,0,0,0
ABCB6,0,0,0
ABCB7,1,1,1
ABCB8,4,3,1
ABCB9,0,0,0
ABCC1,0,0,0
ABCC10,1,1,1
ABCC11,0,0,0
ABCC12,0,0,0
ABCC2,0,0,0
ABCC3,38,6,32
ABCC4,0,0,0
ABCC5,1,1,1
ABCC6,0,0,0
ABCC8,0,2,0
ABCC9,0,0,0
ABCD1,2,2,0
ABCD2,0,0,0
ABCD3,2,1,2
ABCD4,0,2,0
ABCE1,25,20,14
ABCF1,12,11,9
ABCF2,14,47,18
ABCF3,12,11,7
ABCG1,0,1,0
ABCG2,0,0,0
ABCG4,0,0,0
ABCG5,0,0,0
ABCG8,0,0,0
ABHD1,0,0,0
ABHD10,6,3,4
ABHD11,38,24,24
ABHD12,1,1,1
ABHD13,16,30,8
ABHD14A,5,25,28
ABHD14A-ACY1,0,0,0
ABHD14B,101,68,77
ABHD15,51,21,36
ABHD16A,0,0,0
ABHD16B,0,0,0
ABHD17A,9,15,7
ABHD17B,2,1,1
ABHD17C,18,19,9
ABHD18,0,0,0
ABHD2,9,3,5
ABHD3,3,2,1
ABHD4,9,9,7
ABHD5,0,0,0
ABHD6,1,1,0
ABHD8,9,14,8
ABI1,0,1,0
ABI2,0,0,0
ABI3,2,6,1
ABI3BP,0,0,0
ABL1,4,6,3
ABL2,1,2,0
ABLIM1,0,0,0
ABLIM2,0,0,0
ABLIM3,0,0,0
ABO,27,4,16
ABR,0,0,0
ABRA,0,0,0
ABRACL,29,37,13
ABRAXAS1,3,2,2
ABRAXAS2,3,2,3
ABT1,66,112,67
ABTB1,10,10,8
ABTB2,3,2,1
ACAA1,22,13,15
ACAA2,27,16,23
ACACA,0,0,0
ACACB,0,0,0
ACAD10,1,2,2
ACAD11,0,0,0
ACAD8,4,7,4
ACAD9,2,4,3
ACADL,0,0,1
ACADM,4,5,4
ACADS,11,11,15
ACADSB,3,1,2
ACADVL,32,27,38
ACAN,0,0,0
ACAP1,1,4,1
ACAP2,1,1,0
ACAP3,1,3,2
ACAT1,2,2,2
ACAT2,23,15,18
ACBD3,72,77,38
ACBD4,0,0,1
ACBD5,0,0,0
ACBD6,0,0,0
ACBD7,0,0,0
ACCS,0,1,1
ACCSL,0,0,0
ACD,15,35,17
ACE,3,8,1
ACE2,5,1,2
ACER1,0,0,0
ACER2,0,0,0
ACER3,0,1,0
ACHE,10,4,3
ACIN1,4,5,3
ACKR1,5,81,0
ACKR2,0,1,0
ACKR3,2,4,2
ACKR4,0,0,0
ACLY,7,7,7
ACMSD,0,0,0
ACO1,4,3,3
ACO2,36,35,17
ACOD1,0,0,0
ACOT1,0,0,0
ACOT11,2,2,1
ACOT12,0,0,0
ACOT13,18,10,12
ACOT2,11,14,6
ACOT4,18,12,9
ACOT6,0,0,0
ACOT7,0,1,0
ACOT8,4,1,3
ACOT9,10,9,5
ACOX1,11,7,9
ACOX2,0,1,0
ACOX3,0,0,0
ACOXL,0,0,0
ACP1,24,16,19
ACP2,8,25,9
ACP4,0,0,0
ACP5,41,91,5
ACP6,3,1,2
ACP7,0,0,0
ACR,0,0,0
ACRBP,2,11,2
ACRV1,0,0,0
ACSBG1,0,0,0
ACSBG2,0,0,0
ACSF2,0,0,0
ACSF3,0,0,0
ACSL1,0,1,0
ACSL3,6,6,3
ACSL4,1,1,1
ACSL5,9,6,5
ACSL6,0,0,0
ACSM1,0,0,0
ACSM2A,0,0,0
ACSM2B,0,0,0
ACSM3,0,0,0
ACSM4,0,0,0
ACSM5,0,2,0
ACSM6,0,0,0
ACSS1,3,3,7
ACSS2,0,1,1
ACSS3,0,0,0
ACTA1,0,0,3
ACTA2,18,55,7
ACTB,1821,1895,1020
ACTBL2,18,0,8
ACTC1,0,7,0
ACTG1,1706,1144,1119
ACTG2,2,10,1
ACTL10,26,6,8
ACTL6A,3,1,3
ACTL6B,1,0,1
ACTL7A,0,0,0
ACTL7B,0,0,0
ACTL8,0,0,0
ACTL9,0,0,0
ACTN1,2,3,1
ACTN2,0,1,0
ACTN3,0,0,0
ACTN4,24,16,14
ACTR10,9,12,7
ACTR1A,16,27,11
ACTR1B,26,20,22
ACTR2,61,67,34
ACTR3,9,11,6
ACTR3B,0,0,0
ACTR3C,0,0,0
ACTR5,6,6,6
ACTR6,5,5,4
ACTR8,5,3,1
ACTRT1,0,0,0
ACTRT2,0,0,0
ACTRT3,16,14,7
ACVR1,1,1,1
ACVR1B,1,1,3
ACVR1C,0,0,0
ACVR2A,1,1,1
ACVR2B,0,0,1
ACVRL1,2,2,1
ACY1,1,0,2
ACY3,2,1,4
ACYP1,2,4,3
ACYP2,0,0,0
ADA,0,0,0
ADA2,2,5,1
ADAD1,0,0,0
ADAD2,0,0,0
ADAL,0,0,0
ADAM10,9,10,5
ADAM11,0,0,0
ADAM12,0,0,0
ADAM15,8,9,7
ADAM17,3,6,2
ADAM18,0,0,0
ADAM19,1,4,0
ADAM2,0,0,0
ADAM20,0,0,0
ADAM21,0,0,0
ADAM22,0,0,0
ADAM23,0,0,0
ADAM28,1,1,1
ADAM29,0,0,0
ADAM30,0,0,0
ADAM32,0,0,0
ADAM33,0,0,0
ADAM7,0,0,0
ADAM8,13,19,4
ADAM9,7,5,3
ADAMDEC1,0,0,0
ADAMTS1,99,265,57
ADAMTS10,0,1,1
ADAMTS12,0,0,0
ADAMTS13,0,0,0
ADAMTS14,0,0,0
ADAMTS15,1,2,0
ADAMTS16,0,0,0
ADAMTS17,0,0,0
ADAMTS18,0,0,0
ADAMTS19,0,0,0
ADAMTS2,0,0,0
ADAMTS20,0,0,0
ADAMTS3,0,0,0
ADAMTS4,12,32,10
ADAMTS5,1,2,0
ADAMTS6,0,0,0
ADAMTS7,0,0,0
ADAMTS8,4,6,2
ADAMTS9,1,3,1
ADAMTSL1,0,0,0
ADAMTSL2,1,1,1
ADAMTSL3,0,0,0
ADAMTSL4,1,1,0
ADAMTSL5,1,0,0
ADAP1,3,1,2
ADAP2,1,1,0
ADAR,3,4,3
ADARB1,0,0,0
ADARB2,0,0,0
ADAT1,1,1,1
ADAT2,1,1,1
ADAT3,0,0,0
ADCK1,0,0,0
ADCK2,11,11,6
ADCK5,1,2,1
ADCY1,0,0,0
ADCY10,0,0,0
ADCY2,0,0,0
ADCY3,0,0,0
ADCY4,1,1,0
ADCY5,0,0,0
ADCY6,4,5,5
ADCY7,0,1,0
ADCY8,0,0,0
ADCY9,0,1,1
ADCYAP1,0,3,2
ADCYAP1R1,0,0,0
ADD1,1,1,1
ADD2,0,0,0
ADD3,1,1,1
ADGB,0,0,0
ADGRA1,0,0,0
ADGRA2,2,4,1
ADGRA3,2,1,2
ADGRB1,0,0,0
ADGRB2,0,0,0
ADGRB3,0,0,0
ADGRD1,0,0,0
ADGRD2,0,0,0
ADGRE1,0,0,0
ADGRE2,0,1,0
ADGRE3,0,0,0
ADGRE5,43,26,17
ADGRF1,2,1,1
ADGRF2,0,0,0
ADGRF3,0,0,0
ADGRF4,0,0,0
ADGRF5,0,0,0
ADGRG1,2,1,1
ADGRG2,0,0,0
ADGRG3,0,0,0
ADGRG4,0,0,0
ADGRG5,0,0,0
ADGRG6,1,0,0
ADGRG7,0,0,0
ADGRL1,0,0,0
ADGRL2,0,0,0
ADGRL3,0,0,0
ADGRL4,1,5,0
ADGRV1,0,0,0
ADH1A,4,0,1
ADH1B,4,54,27
ADH1C,25,6,24
ADH4,0,0,0
ADH5,66,67,52
ADH6,5,0,1
ADH7,0,0,0
ADHFE1,0,2,4
ADI1,23,34,22
ADIG,0,0,0
ADIPOQ,0,19,0
ADIPOR1,6,11,4
ADIPOR2,1,1,1
ADIRF,86,342,61
ADK,0,0,0
ADM,612,358,293
ADM2,19,10,22
ADM5,0,37,10
ADNP,3,3,2
ADNP2,3,5,4
ADO,147,142,76
ADORA1,0,0,1
ADORA2A,0,0,0
ADORA2B,0,0,0
ADORA3,2,30,6
ADPGK,4,2,2
ADPRH,2,5,3
ADPRHL1,0,1,0
ADPRM,7,17,3
ADRA1A,0,0,0
ADRA1B,0,0,0
ADRA1D,1,1,0
ADRA2A,97,128,586
ADRA2B,1,2,4
ADRA2C,60,55,18
ADRB1,5,0,47
ADRB2,57,18,17
ADRB3,0,5,0
ADRM1,62,62,39
ADSL,2,3,2
ADTRP,1,2,0
AEBP1,106,216,55
AEBP2,1,1,1
AEN,9,8,10
AFAP1,0,1,0
AFAP1L1,0,0,0
AFAP1L2,0,0,0
AFDN,0,0,0
AFF1,0,0,0
AFF2,0,0,0
AFF3,0,0,0
AFF4,8,9,6
AFG1L,0,0,0
AFG3L2,12,5,6
AFM,0,0,0
AFMID,2,2,3
AFP,0,0,1
AFTPH,1,2,2
AGA,11,9,11
AGAP1,0,0,0
AGAP2,0,5,1
AGAP3,2,2,1
AGAP4,0,0,0
AGAP5,0,0,0
AGAP6,8,6,3
AGAP9,3,7,2
AGBL1,0,0,0
AGBL2,0,0,1
AGBL3,0,0,0
AGBL4,0,0,0
AGBL5,1,1,1
AGER,0,0,0
AGFG1,6,5,3
AGFG2,6,7,8
AGGF1,19,24,22
AGK,1,0,0
AGL,1,1,1
AGMAT,5,2,3
AGMO,0,0,0
AGO1,2,2,2
AGO2,2,2,1
AGO3,1,1,1
AGO4,1,1,0
AGPAT1,3,4,2
AGPAT2,23,20,21
AGPAT3,0,0,0
AGPAT4,3,3,2
AGPAT5,2,2,1
AGPS,2,2,1
AGR2,1488,799,568
AGR3,27,9,23
AGRN,0,0,1
AGRP,0,5,0
AGT,4,7,1
AGTPBP1,0,0,0
AGTR1,0,0,0
AGTR2,5,0,0
AGTRAP,5,2,4
AGXT,0,0,0
AGXT2,0,0,0
AHCTF1,1,1,0
AHCY,2,1,1
AHCYL1,22,21,20
AHCYL2,1,0,1
AHDC1,1,0,0
AHI1,0,0,0
AHNAK,28,26,15
AHNAK2,46,25,12
AHR,144,104,83
AHRR,0,0,0
AHSA1,36,50,34
AHSG,0,0,0
AHSP,0,0,0
AICDA,0,0,0
AIDA,1,1,2
AIF1,76,184,22
AIF1L,1,2,0
AIFM1,4,9,3
AIFM2,8,6,5
AIFM3,0,0,0
AIG1,0,0,0
AIM2,0,0,0
AIMP1,13,12,9
AIMP2,3,2,2
AIP,18,20,14
AIPL1,0,0,0
AIRE,0,0,0
AJAP1,0,0,0
AJM1,0,0,3
AJUBA,13,8,11
AK1,14,4,6
AK2,6,5,5
AK3,8,7,7
AK4,1,1,1
AK5,0,0,0
AK6,5,2,3
AK7,0,0,0
AK8,0,0,0
AK9,0,0,0
AKAIN1,0,0,0
AKAP1,3,2,1
AKAP10,2,2,1
AKAP11,1,2,1
AKAP12,8,8,9
AKAP13,8,8,7
AKAP14,0,0,0
AKAP3,0,0,0
AKAP4,0,0,0
AKAP5,7,3,8
AKAP6,0,0,0
AKAP7,0,0,0
AKAP8,34,33,27
AKAP8L,9,8,9
AKAP9,18,17,20
AKIP1,7,9,3
AKIRIN1,40,51,25
AKIRIN2,15,12,8
AKNA,1,1,0
AKNAD1,0,0,0
AKR1A1,17,16,10
AKR1B1,9,15,8
AKR1B10,40,3,20
AKR1B15,0,0,0
